--- eps ~ gauss, H1: b_1 -> b_1 (1 + 1.0/sqrt n), nominal level 0.05, m=3, R=1000 ---
alpha     n  size_T  size_S  pow_T  pow_S     med_T    med_S
  1.2   200   0.407   0.056  0.483  0.475      83.4    0.062
  1.2   500   0.396   0.048  0.499  0.452       242   0.0638
  1.2  1000   0.361   0.054  0.406  0.427       814   0.0619
  1.2  2000   0.347   0.051  0.351  0.417  3.19e+03   0.0638
  1.5   200   0.285   0.046  0.569  0.338      4.72   0.0713
  1.5   500   0.275   0.052  0.633  0.362       7.2   0.0728
  1.5  1000   0.292   0.056  0.483  0.306      10.7   0.0713
  1.5  2000   0.298   0.053  0.533  0.297      15.7   0.0735
  1.8   200   0.128   0.046  0.733  0.350      1.13   0.0747
  1.8   500   0.110   0.051  0.835  0.287      1.21   0.0761
  1.8  1000   0.125   0.049  0.819  0.318      1.34   0.0765
  1.8  2000   0.114   0.055  0.824  0.311      1.54   0.0764
  2.0   200   0.055   0.045  0.814  0.329     0.582   0.0752
  2.0   500   0.070   0.043  0.762  0.349     0.551   0.0765
  2.0  1000   0.045   0.052  0.802  0.320     0.549   0.0781
  2.0  2000   0.042   0.058  0.836  0.325      0.51   0.0763
--- eps ~ cauchy, H1: b_1 -> b_1 (1 + 1.0/sqrt n), nominal level 0.05, m=3, R=1000 ---
alpha     n  size_T  size_S  pow_T  pow_S     med_T    med_S
  1.5   200   0.105   0.046  0.071  0.108       867    0.223
  1.5   500   0.063   0.051  0.080  0.117  1.75e+03     0.23
  1.5  1000   0.059   0.044  0.068  0.111   4.2e+03    0.227
  1.5  2000   0.036   0.043  0.064  0.093  8.36e+03    0.226

wrote results/simulation.json
